year,region,private_investment,public_investment,total_investment,patents,publications,notable_models,ai_researchers,ai_adoption_rate,regulatory_index,stem_graduates,compute_capacity,gdp_per_capita
2015,USA,12.7,1.2,13.9,4200,15200,0,45,0,0.15,568,35,56800
2015,China,4.8,2.5,7.3,8500,18500,0,35,0,0.45,4850,55,14500
2015,EU,2.1,1.8,3.9,3800,12500,0,28,0,0.25,1250,12,42000
2015,UK,1.2,0.4,1.6,950,4200,0,8,0,0.18,185,3,43500
2016,USA,18.5,1.5,20.0,5100,17800,0,52,0,0.16,585,45,58000
2016,China,8.2,3.8,12.0,12800,24200,0,48,0,0.48,5120,93,15500
2016,EU,3.2,2.2,5.4,4500,14800,0,32,0,0.28,1295,18,43200
2016,UK,1.8,0.5,2.3,1125,5100,0,10,0,0.20,192,5,44200
2017,USA,24.1,1.8,25.9,6200,21500,0,62,20,0.18,602,58,60200
2017,China,15.2,5.2,20.4,19500,32500,0,68,15,0.52,5380,125,16800
2017,EU,4.5,2.8,7.3,5200,18200,0,38,12,0.32,1342,25,45000
2017,UK,2.4,0.6,3.0,1300,6200,0,12,14,0.22,200,7,45800
2018,USA,35.2,2.5,37.7,8500,26000,0,78,28,0.22,625,148,63100
2018,China,18.5,8.5,27.0,32000,42000,0,95,22,0.58,5650,200,18200
2018,EU,5.8,3.5,9.3,6800,22500,0,48,18,0.38,1395,35,47200
2018,UK,3.1,0.8,3.9,1700,7800,0,15,20,0.25,210,10,47500
2019,USA,40.5,3.2,43.7,11000,28500,12,95,35,0.25,648,200,65300
2019,China,12.8,12.0,24.8,48000,48500,2,125,32,0.62,5920,230,19500
2019,EU,7.2,4.5,11.7,8500,26000,1,58,24,0.45,1448,48,48500
2019,UK,3.8,1.0,4.8,2125,9200,1,19,27,0.28,218,12,48800
2020,USA,52.8,4.5,57.3,13500,30200,18,115,42,0.28,665,442,63500
2020,China,10.5,15.5,26.0,62000,52000,4,160,42,0.65,6180,280,19800
2020,EU,8.5,6.2,14.7,10200,29500,2,72,32,0.52,1502,65,46800
2020,UK,4.2,1.5,5.7,2550,10500,2,24,35,0.32,228,16,46200
2021,USA,78.4,6.8,85.2,15200,32500,25,140,50,0.32,688,550,69500
2021,China,17.2,18.2,35.4,75000,55000,8,195,55,0.68,6450,320,21500
2021,EU,12.4,8.5,20.9,12500,33000,3,88,40,0.58,1558,85,50500
2021,UK,6.8,2.2,9.0,3125,11800,3,30,44,0.35,238,22,49500
2022,USA,67.2,8.5,75.7,16800,34000,32,165,58,0.35,712,1200,76400
2022,China,13.4,22.0,35.4,85000,56500,11,235,65,0.72,6720,380,22100
2022,EU,10.8,10.5,21.3,14200,36500,4,105,48,0.68,1615,120,53200
2022,UK,5.2,2.8,8.0,3550,12500,4,36,52,0.38,248,30,51800
2023,USA,75.5,12.0,87.5,17343,35200,48,195,65,0.42,738,1800,80000
2023,China,7.8,28.0,35.8,85412,56168,15,280,75,0.78,7000,450,23500
2023,EU,9.2,14.0,23.2,15932,38500,5,125,55,0.82,1675,180,56000
2023,UK,4.8,3.5,8.3,3983,13200,6,44,60,0.45,260,42,54500
2024,USA,109.1,15.5,124.6,19500,38000,40,230,72,0.48,765,2500,83500
2024,China,9.3,35.0,44.3,95000,58000,15,340,85,0.82,7300,600,25200
2024,EU,8.7,18.0,26.7,17500,42000,3,150,62,0.88,1740,280,58500
2024,UK,4.5,4.2,8.7,4350,14500,4,52,68,0.52,275,55,57000
